"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"41765",5,10,0,5,5,2,2,0
"41773",7,0,3,0,9,0,0,9
"41785",5,4,1,5,2,0,0,5
"41787",6,6,0,8,0,0,0,1
"41788",7,4,6,4,4,1,1,4
"41789",4,8,2,6,2,1,3,0
"41793",9,0,10,0,3,0,0,7
"41794",0,0,5,3,3,10,0,7
"41795",9,2,0,0,6,0,0,5
"41796",6,1,3,2,5,0,0,2
"41800",10,0,10,2,4,0,0,1
"41805",10,2,8,8,2,2,2,7
"41809",9,8,5,6,5,3,4,4
"41811",9,0,9,5,5,0,0,10
"41812",9,1,8,1,1,0,0,7
"41813",9,2,7,1,5,4,1,5
"41816",8,5,7,5,5,5,5,5
"41817",6,3,8,2,2,5,0,3
"41818",10,0,5,0,8,0,0,5
"41821",10,3,7,3,5,0,0,5
"41822",8,8,0,7,4,1,1,1
"41824",7,7,9,7,6,5,4,9
"41825",5,6,0,6,6,5,5,5
"41826",5,6,5,6,3,4,5,5
"41827",3,4,1,5,0,0,0,2
"41830",10,8,9,5,0,0,5,5
"41832",8,6,8,4,5,5,0,4
"41833",0,5,0,4,1,3,0,0
"41834",10,10,8,7,7,3,4,8
"41838",8,0,9,0,2,6,0,5
"41842",7,0,9,0,0,6,0,5
"41843",10,1,2,3,6,1,2,1
"41845",6,3,6,2,5,4,4,6
"41846",3,9,0,8,3,0,8,3
"41847",9,10,0,7,7,0,0,0
"41849",5,5,5,5,5,5,5,5
"41850",10,0,5,5,0,5,0,5
"41851",6,6,6,6,1,5,0,4
"41852",7,8,3,6,3,3,3,4
"41856",7,0,10,3,1,8,0,6
"41858",10,2,7,4,1,1,2,1
"41860",6,5,7,5,4,6,1,5
"41862",9,3,9,2,7,7,0,8
"41866",7,5,9,5,1,6,0,7
"41869",8,4,4,3,4,1,1,2
"41871",3,8,2,6,3,1,5,1
"41874",8,5,7,5,5,5,5,5
"41875",5,7,3,10,6,6,0,0
"41880",4,6,3,7,4,4,3,4
"41881",10,0,5,0,10,1,0,5
"41883",1,9,0,9,1,2,5,2
"41886",10,4,3,3,4,2,2,3
"41887",5,5,6,6,6,8,7,7
"41888",8,0,6,2,3,8,0,4
"41889",10,3,6,1,1,1,1,1
"41893",9,9,1,1,0,1,1,1
"41896",7,5,6,2,3,2,0,2
"41897",0,7,0,9,0,0,0,5
"41898",7,6,7,7,3,0,0,2
"41900",3,6,2,7,2,0,0,5
"41904",2,9,2,8,0,0,0,8
"41907",8,7,9,0,1,10,0,5
"41909",10,0,5,4,4,2,3,7
"41910",8,7,5,4,3,1,1,2
"41911",10,8,9,2,5,1,1,2
"41914",6,6,6,8,0,5,0,6
"41917",5,7,0,0,0,0,0,0
"41918",0,9,8,7,9,9,10,10
"41920",8,8,0,8,5,0,0,1
"41921",0,10,0,7,0,0,0,7
"41922",10,3,9,3,1,0,0,7
"41923",6,8,8,8,0,0,0,5
"41925",7,5,3,1,1,0,0,0
"41927",8,2,8,1,3,9,0,9
"41930",7,7,6,5,0,0,0,1
"41931",7,2,10,0,2,7,0,7
"41936",5,5,0,0,0,0,0,0
"41937",8,2,10,0,0,6,0,8
"41938",5,8,5,6,1,3,3,4
"41939",10,0,0,0,0,0,0,0
"41940",10,2,3,1,7,1,1,10
"41941",6,6,5,5,10,5,5,5
"41943",8,7,6,5,5,0,0,5
"41945",9,4,2,3,4,9,1,5
"41946",6,1,8,0,1,10,0,5
"41948",5,10,2,6,1,1,0,1
"41949",8,1,1,0,1,0,0,0
"41950",6,8,4,6,0,0,0,6
"41951",7,7,2,4,1,2,4,4
"41954",9,5,5,0,4,1,1,5
"41956",8,6,5,5,0,0,0,2
"41957",9,5,3,4,2,1,1,1
"41959",8,3,9,1,2,5,0,7
"41960",0,7,0,0,10,8,10,0
"41961",8,8,8,8,8,8,8,8
"41962",9,4,8,2,5,5,0,5
"41963",5,0,8,0,1,7,0,3
"41964",10,1,8,1,2,10,1,10
"41968",10,9,6,6,1,5,5,7
"41969",7,0,10,0,2,6,0,2
"41972",8,3,10,1,4,3,1,7
"41973",8,9,8,7,0,9,0,6
"41974",10,6,2,2,0,0,0,0
"41975",5,9,0,9,0,0,0,5
"41980",10,8,8,0,3,0,0,8
"41981",0,5,0,5,2,0,0,2
"41982",8,0,0,0,10,0,0,5
"41983",0,7,0,3,0,0,0,5
"41987",7,7,1,0,0,0,0,0
"41988",4,6,1,6,3,4,3,4
"41990",7,2,8,1,2,10,0,7
"41991",4,7,0,9,0,0,0,0
"41993",8,5,9,3,1,7,0,3
"41994",7,8,0,8,1,1,2,5
"41995",0,10,0,0,0,5,5,0
"41996",9,5,6,1,3,3,1,6
"41999",10,2,2,1,0,1,1,4
"42000",7,5,8,3,0,2,0,3
"42003",7,1,10,0,0,9,0,5
"42004",0,10,0,2,2,0,0,0
"42005",2,3,0,6,0,0,0,0
"42006",6,4,10,2,0,5,0,7
"42008",5,10,5,10,0,5,5,5
"42012",3,10,0,10,0,0,0,0
"42013",6,8,1,7,1,0,0,4
"42015",7,5,6,3,4,8,0,4
"42016",10,4,5,3,6,2,2,7
"42018",6,4,3,6,1,0,0,3
"42019",7,3,4,2,2,2,2,3
"42022",7,5,7,6,1,5,0,6
"42023",7,1,8,0,0,0,0,6
"42024",10,2,7,0,5,1,1,5
"42026",9,0,3,1,9,0,0,3
"42027",6,4,5,5,0,0,0,5
"42029",6,2,6,0,8,6,0,7
"42030",7,0,10,0,0,3,0,7
"42032",9,0,0,7,0,0,0,0
"42033",0,8,0,8,6,0,0,0
"42034",0,10,0,4,0,0,0,4
"42036",8,5,6,5,5,5,5,6
"42037",9,0,8,0,7,0,0,5
"42038",10,0,9,0,0,0,0,5
"42039",7,0,7,1,5,2,0,5
"42040",10,4,8,4,1,0,0,1
"42041",5,5,2,6,1,1,1,0
"42042",6,10,3,8,4,0,0,5
"42043",9,3,8,1,1,1,1,3
"42044",3,7,0,5,0,0,0,1
"42048",3,10,1,6,1,0,1,1
"42049",5,8,4,4,4,3,4,5
"42051",10,3,8,3,6,1,0,2
"42052",10,4,6,4,4,4,4,5
"42053",10,4,9,5,5,6,5,6
"42054",10,5,3,3,5,1,1,5
"42057",10,0,9,8,9,8,8,9
"42058",7,6,5,2,1,10,10,2
"42060",10,5,5,4,5,4,4,5
"42063",10,4,6,0,0,0,0,0
"42064",7,7,9,4,3,4,0,6
"42065",6,2,2,1,2,1,7,1
"42066",8,0,0,0,0,0,0,0
"42068",6,0,0,0,1,0,9,2
"42070",8,0,7,0,8,4,4,7
"42071",6,6,6,5,4,1,0,5
"42072",3,3,0,7,0,5,5,0
"42073",2,9,0,8,5,0,0,5
"42075",6,2,7,1,1,10,2,8
"42076",10,0,0,0,0,0,0,0
"42079",8,2,9,0,5,6,0,6
"42080",6,7,5,6,4,4,4,3
"42081",6,9,3,8,3,5,5,2
"42085",3,6,0,8,4,3,0,2
"42086",4,8,6,2,3,1,1,1
"42087",10,0,5,1,1,1,1,5
"42088",10,0,7,0,0,5,0,5
"42091",5,10,5,10,0,0,0,10
"42097",3,2,0,0,0,0,0,0
"42098",8,7,5,4,4,2,0,4
"42101",6,8,1,5,1,5,0,5
"42102",3,7,0,6,0,6,5,5
"42103",8,6,6,2,5,5,2,5
"42104",3,8,1,7,1,2,2,1
"42106",8,5,6,3,2,7,0,5
"42108",10,0,4,0,2,0,0,2
"42109",7,3,6,7,0,6,0,5
"42110",9,9,5,2,3,10,10,1
"42112",9,2,8,3,7,3,3,4
"42114",10,0,10,8,6,0,0,6
"42119",8,0,4,4,5,1,1,0
"42120",9,6,3,0,0,0,0,5
"42121",4,7,0,10,0,1,1,1
"42123",6,9,7,2,5,2,2,2
"42124",5,6,5,5,1,0,0,4
"42125",5,9,3,5,0,0,0,0
"42127",10,5,8,3,3,0,0,0
"42128",8,3,0,2,1,0,0,0
"42129",5,6,5,2,3,0,0,2
"42132",10,5,5,6,5,3,3,3
"42138",3,5,3,5,3,1,4,2
"42140",9,2,4,7,2,2,4,4
"42141",10,5,5,5,5,0,0,2
"42144",8,7,5,6,5,2,4,4
"42148",2,8,6,6,9,7,5,3
"42149",5,7,4,7,5,1,2,2
"42150",8,6,6,3,2,7,1,7
"42153",10,5,2,2,2,0,0,1
"42154",8,6,8,0,2,8,0,8
"42156",5,7,0,0,0,0,0,0
"42158",0,10,0,0,0,0,0,0
"42159",5,8,2,1,2,0,0,8
"42160",5,5,1,0,0,0,0,2
"42162",10,3,3,3,3,6,6,3
"42163",7,2,6,2,2,2,2,6
"42165",7,6,6,1,4,4,0,2
"42166",8,5,7,2,5,5,1,8
"42167",10,0,5,0,0,1,1,0
"42169",7,2,8,1,1,5,0,5
"42170",4,7,2,9,2,1,1,2
"42171",3,6,3,8,2,4,4,2
"42172",3,9,0,9,7,0,0,0
"42173",8,6,5,5,5,3,4,6
"42177",3,3,0,7,3,0,0,3
"42178",8,0,4,8,8,4,4,10
"42179",10,0,10,5,5,2,4,4
"42180",6,6,6,5,2,1,0,4
"42182",6,10,2,4,4,2,2,4
"42183",8,2,3,0,3,0,0,0
"42184",7,4,1,3,3,7,1,4
"42185",7,2,10,2,2,6,0,7
"42186",10,0,5,0,0,2,0,5
"42187",10,1,1,0,4,0,0,4
"42190",3,6,0,5,0,0,0,0
"42192",6,5,5,5,5,5,5,5
"42195",0,10,0,8,0,0,4,0
"42196",7,8,2,2,10,1,5,2
"42197",6,6,4,6,3,1,1,3
"42198",10,3,8,0,0,1,0,6
"42199",7,5,5,5,4,0,3,4
"42200",2,2,2,0,0,0,0,0
"42202",7,6,3,6,6,7,2,7
"42205",8,6,5,5,6,2,2,2
"42208",10,5,3,3,3,3,3,3
"42209",10,5,7,1,3,0,0,3
"42210",7,0,4,0,2,5,0,5
"42213",9,2,5,0,0,0,0,5
"42214",7,7,6,1,3,5,0,7
"42217",10,7,7,7,10,7,7,10
"42223",8,10,0,10,8,3,6,9
"42224",6,6,5,5,3,10,10,10
"42225",6,0,10,5,0,5,0,5
"42227",0,3,0,2,0,2,10,0
"42228",0,10,5,4,5,5,4,1
"42229",4,8,0,7,0,4,5,0
"42230",9,6,7,5,5,4,0,6
"42231",9,6,6,6,8,2,2,2
"42232",7,1,7,1,1,2,1,3
"42233",7,2,10,2,2,2,0,6
"42236",9,3,10,3,3,4,0,7
"42237",7,4,0,7,0,0,0,0
"42238",2,8,0,8,7,0,1,0
"42242",0,7,0,2,1,0,0,0
"42243",10,6,6,3,3,1,1,3
"42244",4,6,0,0,0,0,0,0
"42245",10,6,4,7,1,3,1,2
"42246",8,7,5,4,3,3,5,5
"42248",7,8,0,5,2,0,0,0
"42249",4,7,3,3,1,10,10,1
"42251",5,7,3,7,0,0,0,5
"42253",0,10,0,8,0,0,0,8
"42255",10,10,5,8,3,0,0,8
"42256",10,4,9,2,6,0,0,5
"42259",8,6,5,5,2,1,1,5
"42260",10,0,5,5,5,0,0,0
"42261",3,4,0,4,0,0,2,3
"42262",7,7,7,8,3,1,7,4
"42263",5,10,4,8,4,4,1,1
"42266",0,8,0,8,5,0,6,3
"42267",10,10,7,10,10,9,0,5
"42268",8,0,7,2,6,0,1,1
"42269",4,10,3,3,3,2,2,2
"42270",4,8,0,3,4,0,0,2
"42271",10,0,8,0,5,0,0,0
"42272",8,4,4,7,2,0,1,3
"42273",0,10,0,0,0,0,0,0
"42277",3,3,3,3,3,3,0,0
"42278",4,5,0,7,1,1,0,6
"42279",7,7,7,6,6,5,4,6
"42281",8,0,4,4,6,0,0,1
"42283",10,0,2,0,3,0,0,0
"42285",10,0,5,4,4,4,4,7
"42287",10,5,5,4,4,0,0,10
"42289",2,2,7,4,2,6,0,2
"42290",9,7,5,5,5,1,3,5
"42292",8,8,0,10,4,7,0,3
"42295",3,8,2,7,0,0,0,3
"42296",10,4,8,1,1,0,0,1
"42297",7,7,5,4,7,0,0,2
"42301",8,5,5,1,3,0,0,5
"42302",8,3,9,2,3,9,0,6
"42304",10,6,8,3,1,6,0,5
"42305",5,4,2,5,3,0,3,3
"42306",9,7,9,6,6,3,0,7
"42307",10,0,0,0,0,0,0,0
"42308",2,7,0,8,0,0,0,0
"42309",3,8,2,5,1,0,0,1
"42310",2,10,2,3,3,3,3,10
"42314",2,8,2,5,5,1,1,1
"42315",7,0,2,2,2,1,3,7
"42316",10,4,8,8,6,1,1,6
"42319",10,2,8,2,6,0,0,4
"42321",8,10,3,8,4,0,0,2
"42322",3,5,1,4,7,4,7,5
"42324",8,2,5,2,0,0,2,2
"42327",10,5,10,3,5,5,3,9
"42329",3,5,3,3,0,0,0,2
"42331",2,10,2,4,0,0,0,1
"42333",9,2,7,2,0,1,0,4
"42334",6,8,0,8,3,1,1,2
"42335",8,6,6,4,5,5,1,6
"42336",4,8,0,4,0,0,0,0
"42339",8,4,1,1,0,0,0,1
"42341",7,2,2,1,0,0,0,1
"42342",1,1,1,1,1,0,0,5
"42343",4,10,0,7,7,0,7,5
"42346",3,9,0,0,0,6,7,3
"42348",7,4,6,2,0,0,0,2
"42351",10,10,5,8,8,0,0,1
"42353",10,1,7,0,0,0,0,3
"42354",2,4,1,0,1,0,0,1
"42355",6,7,5,7,2,10,0,5
"42357",8,9,6,7,7,0,3,4
"42358",10,0,8,4,2,0,0,4
"42359",7,0,1,0,1,0,0,0
"42364",9,4,8,1,1,9,4,9
"42366",0,10,0,10,2,1,0,1
"42367",1,1,1,7,1,2,1,2
"42370",10,0,10,5,3,5,0,5
"42371",2,10,0,9,4,5,6,3
"42373",10,10,5,5,10,0,5,5
"42374",9,1,6,1,6,1,1,5
"42375",10,8,9,8,8,7,7,9
"42377",10,0,10,3,10,3,3,9
"42379",1,7,2,8,7,5,9,1
"42382",10,5,5,9,1,0,0,0
"42384",5,5,3,6,0,1,0,1
"42385",6,10,3,2,3,0,2,2
"42386",7,6,5,5,0,0,0,5
"42387",6,3,5,2,3,4,0,5
"42388",6,5,3,0,0,0,0,0
"42389",7,7,5,8,5,3,1,1
"42390",4,9,3,8,5,3,1,3
"42391",10,5,5,2,3,0,0,4
"42392",5,7,0,4,3,1,4,5
"42394",6,8,4,6,4,0,3,1
"42395",7,4,4,5,2,2,2,2
"42398",0,7,2,4,0,0,0,0
"42400",5,7,3,7,2,1,1,1
"42402",10,1,3,1,1,0,0,0
"42404",10,5,10,5,5,5,5,8
"42405",9,3,7,5,8,0,0,5
"42406",7,0,5,8,0,0,0,0
"42407",1,8,1,10,1,0,0,5
"42409",10,7,8,5,6,3,0,7
"42415",8,2,8,0,0,0,0,6
"42419",10,10,5,2,1,0,0,3
"42420",7,5,5,5,5,5,5,5
"42423",10,0,4,0,0,0,0,0
"42429",7,5,5,5,5,5,5,5
"42430",8,5,7,5,5,10,2,5
"42431",5,5,3,2,1,2,0,8
