,A,B,C,D,E,F,G,H,I
v1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v3,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v4,0.5,1.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1
v5,0.1,0.0,0.2,0.4,0.0,0.0,0.2,0.3,0.1
v6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v7,0.0,0.7,0.0,,0.3,0.1,,,0.4
v8,0.8,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5
v9,0.0,1.0,0.0,0.0,0.6,0.6,0.6,0.5,0.0
v10,0.6,0.3,0.5,0.6,0.5,0.1,0.6,0.2,0.5
v11,0.7,0.4,0.1,0.8,0.4,0.2,0.4,0.5,0.6
v12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v13,0.9,0.5,1.0,0.7,0.2,0.2,0.3,0.4,0.9
v14,0.5,0.8,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v15,0.3,0.3,0.7,0.3,0.2,0.3,0.3,0.3,0.3
v16,0.2,0.7,0.0,0.7,0.7,0.4,0.7,0.2,0.7
v17,0.3,0.8,0.4,0.5,0.6,0.6,0.5,0.5,0.0
v18,0.3,0.8,0.2,0.7,0.3,0.4,0.8,0.3,0.2
v19,0.0,0.9,0.0,0.0,0.3,0.4,0.0,0.1,0.0
v20,0.0,0.7,0.7,0.7,1.0,0.6,0.5,0.7,0.2
v21,0.5,1.0,0.2,,0.5,0.0,,0.5,0.5
v22,0.7,0.5,0.5,0.5,0.4,0.2,0.4,0.5,0.6
v23,,0.3,0.3,0.6,0.3,,,,
v24,0.4,0.5,0.9,0.1,0.1,0.9,0.5,0.1,0.5
v25,0.2,0.9,0.0,0.3,0.0,0.1,0.2,0.2,0.0
v26,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5
v27,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0
v28,0.2,1.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
v29,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v30,0.0,0.9,0.0,0.5,0.6,0.2,0.6,0.0,0.0
v31,0.8,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5
v32,0.0,0.8,0.0,0.5,0.8,0.0,0.5,0.5,0.3
v33,0.2,0.9,0.3,0.5,0.5,0.5,0.5,0.3,0.5
v34,0.5,0.8,0.2,0.5,0.5,0.4,0.5,0.5,0.5
v35,0.3,0.7,0.5,0.8,0.7,0.5,0.6,0.4,0.0
v36,0.5,0.6,0.3,0.5,0.5,0.5,0.5,0.5,0.5
v37,0.7,0.1,0.5,1.0,0.0,0.0,0.1,0.4,0.5
v38,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5
v39,0.1,1.0,0.0,,0.3,0.1,,0.4,0.1
v40,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5
v41,0.1,0.5,0.7,0.5,0.5,0.1,0.5,0.1,0.5
v42,0.7,0.4,0.5,0.6,0.3,0.2,0.5,0.5,0.6
v43,0.8,0.2,0.1,0.5,0.1,0.1,0.1,0.2,0.4
v44,1.0,0.2,0.0,0.6,0.1,0.0,0.2,0.1,0.7
v45,0.7,0.8,0.0,0.3,0.6,0.0,0.3,0.3,0.7
v46,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5
v47,0.8,0.3,0.2,0.6,0.1,0.0,0.2,0.2,0.6
v48,0.0,1.0,0.0,0.5,0.3,0.5,1.0,0.5,0.0
v49,0.2,0.1,0.5,0.5,0.2,0.1,0.5,0.5,0.1
v50,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v51,0.6,0.2,1.0,0.5,0.0,0.0,0.0,0.0,0.5
v52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
v53,0.5,0.6,0.6,0.6,0.4,0.5,0.5,0.5,0.6
v54,0.4,0.5,0.8,0.5,0.7,0.4,0.5,0.5,0.4
v55,0.1,1.0,0.1,0.5,0.2,0.1,0.5,0.5,0.1
v56,0.4,0.5,0.0,0.4,0.4,0.4,0.5,0.4,0.4
v57,0.5,1.0,0.0,0.5,0.6,0.5,0.6,0.6,0.5
v58,0.9,0.4,0.5,0.0,0.0,0.3,0.0,0.4,0.0
v59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v60,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v61,0.7,0.7,0.3,0.5,0.6,0.5,0.5,0.5,0.5
v62,0.2,0.3,0.8,0.7,0.1,0.2,0.7,0.3,0.3
v63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v64,0.6,0.3,1.0,0.5,0.2,0.2,0.5,0.5,0.7
v65,1.0,0.3,0.0,0.5,0.2,0.5,0.5,0.5,0.2
v66,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v67,0.5,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5
v68,0.6,0.6,0.4,0.5,0.6,0.4,0.5,0.7,0.5
v69,0.3,0.1,0.8,0.5,0.3,0.3,0.3,0.5,0.3
v70,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v71,0.4,0.4,0.5,0.6,0.2,0.4,0.4,0.3,0.6
v72,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v73,0.1,0.9,0.0,,0.5,0.2,,0.5,0.0
v74,0.5,0.8,0.3,0.3,0.5,0.3,0.3,0.4,0.4
v75,0.4,0.2,0.8,0.5,0.5,0.2,0.5,0.5,0.5
v76,0.4,0.9,0.0,0.4,0.6,0.4,0.8,0.5,0.1
v77,0.5,0.8,0.1,0.5,0.5,0.5,0.5,0.5,0.5
v78,0.1,1.0,0.7,0.5,0.6,0.1,0.1,0.9,0.1
v79,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v80,1.0,0.1,0.3,0.5,0.0,0.0,0.5,0.5,0.3
v81,0.5,0.9,0.1,,0.4,0.3,,0.6,
v82,0.2,0.8,0.2,0.6,0.2,0.2,0.6,0.2,0.2
v83,0.3,1.0,0.0,0.0,0.7,0.5,0.5,0.5,0.1
v84,0.9,0.6,0.0,0.1,0.6,0.0,0.5,0.1,0.5
v85,,,0.5,,,,,,
v86,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5
v87,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5
v88,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v89,0.3,0.5,0.6,0.4,0.5,0.2,0.3,0.3,0.3
v90,0.8,0.7,0.0,0.6,0.1,0.6,0.6,0.4,0.6
v91,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v92,0.0,1.0,0.0,0.0,0.5,0.2,0.4,0.2,0.0
v93,0.5,1.0,0.0,0.5,0.9,0.5,0.5,0.5,0.5
v94,1.0,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8
v95,0.6,0.5,0.2,0.2,0.2,0.3,0.2,0.2,0.2
v96,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v97,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.5,0.5
v98,0.4,0.8,0.1,0.3,0.3,0.2,0.2,0.5,0.3
